d2LogicalModel/extensionName;d2LogicalModel/extensionVersion;d2LogicalModel/modelBaseVersion;d2LogicalModel/schemaLocation;d2LogicalModel/exchange/supplierIdentification/country;d2LogicalModel/exchange/supplierIdentification/nationalIdentifier;d2LogicalModel/payloadPublication/type;d2LogicalModel/payloadPublication/lang;d2LogicalModel/payloadPublication/publicationTime;d2LogicalModel/payloadPublication/publicationCreator/country;d2LogicalModel/payloadPublication/publicationCreator/nationalIdentifier;d2LogicalModel/payloadPublication/measurementSiteTableReference/targetClass;d2LogicalModel/payloadPublication/measurementSiteTableReference/id;d2LogicalModel/payloadPublication/measurementSiteTableReference/version;d2LogicalModel/payloadPublication/headerInformation/confidentiality;d2LogicalModel/payloadPublication/headerInformation/informationStatus;measurementSiteReference/targetClass;measurementSiteReference/id;measurementSiteReference/version;measurementTimeDefault;measuredValue/index;measuredValue/measuredValue/basicData/type;measuredValue/measuredValue/basicData/measurementOrCalculationPeriod;measuredValue/measuredValue/basicData/vehicleFlow/vehicleFlowRate;measuredValue/measuredValue/basicData/averageVehicleSpeed/speed;measuredValue/measuredValue/basicData/occupancy/percentage;measuredValue/measuredValue/measuredValueExtension/additionalMeasuredValues/basicData/type;measuredValue/measuredValue/measuredValueExtension/additionalMeasuredValues/basicData/measurementOrCalculationPeriod;measuredValue/measuredValue/measuredValueExtension/additionalMeasuredValues/basicData/vehicleFlow/vehicleFlowRate;measuredValue/measuredValue/measuredValueExtension/additionalMeasuredValues/basicData/averageVehicleSpeed/speed;measuredValue/measuredValue/measuredValueExtension/additionalMeasuredValues/basicData/occupancy/percentage
MeasurementSiteRecord;10022016[D2_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;468;47.0;6.0;;;;;
MeasurementSiteRecord;10005054[D4_1X.1];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;648;37.0;13.0;;;;;
MeasurementSiteRecord;10005056[D4_2X.1];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;540;43.0;8.0;;;;;
MeasurementSiteRecord;10022019[D4_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;756;61.0;8.0;;;;;
MeasurementSiteRecord;10165016[D1_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;540;29.0;9.0;;;;;
MeasurementSiteRecord;10165023[D4_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;180;29.0;4.0;;;;;
MeasurementSiteRecord;10017020[MS4_23C];1;2018-07-05T17:21:41.000+02:00;300;TrafficConcentration;100.0;540;57.0;5.0;TrafficConcentration;100.0;504;57.0;5.0
MeasurementSiteRecord;10007017[D3_1X.1];1;2018-07-05T17:21:41.000+02:00;300;TrafficConcentration;100.0;288;38.0;5.0;TrafficConcentration;100.0;252;32.0;6.0
MeasurementSiteRecord;10005046[D2_2X.1];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;396;44.0;5.0;;;;;
MeasurementSiteRecord;10165021[D3_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;792;43.0;11.0;;;;;
MeasurementSiteRecord;10007019[D3_2X.1];1;2018-07-05T17:21:41.000+02:00;300;TrafficConcentration;100.0;72;29.0;2.0;TrafficConcentration;100.0;144;27.0;4.0
MeasurementSiteRecord;10165018[D2_1X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;828;24.0;22.0;;;;;
MeasurementSiteRecord;10165020[D2_3X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;324;23.0;9.0;;;;;
MeasurementSiteRecord;10007023[D4_2X.1];1;2018-07-05T17:21:41.000+02:00;300;TrafficConcentration;100.0;432;41.0;7.0;TrafficConcentration;100.0;360;35.0;7.0
MeasurementSiteRecord;10005044[D2_1X.1];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;252;41.0;4.0;;;;;
MeasurementSiteRecord;10022020[D4_2X];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;216;66.0;2.0;;;;;
MeasurementSiteRecord;10026005[D2_1C];1;2018-07-05T17:23:21.000+02:00;300;TrafficConcentration;100.0;252;54.0;3.0;;;;;
